SDB Feature,,apunim,pvalue,support
Age,1) 18 - 24,0.0,0.9174662475260713,18
Age,2) 25 - 34,0.0024838872022992483,0.9174662475260713,877
Age,3) 35 - 44,0.003152765835483256,0.9174662475260713,269
Age,4) 45 - 54,0.0,0.9174662475260713,49
Age,5) 55 - 64,0.0,,9
Education,2) High School graduate,0.0,0.9994754401545749,24
Education,"3) College, no degree",0.0,0.9994754401545749,155
Education,4) Associate degree,0.0,0.9994754401545749,30
Education,5) Bachelor's degree,0.0012140833670578669,0.9994754401545749,891
Education,6) Master's degree,-0.035369774919614023,0.9994754401545749,107
Ethnicity,Black,0.0,0.982395844183812,43
Ethnicity,White,0.0,0.982395844183812,2542
Gender,Female,0.0029100666335076155,0.9632389240100391,1375
Gender,Male,0.0003841475126450446,0.9632389240100391,1222
Has Been Targeted,False,0.0010244063362715588,0.9456473217024091,2599
Has Been Targeted,True,0.005805871289557383,0.9456473217024091,378
Is Parent,No,-0.005081115236678741,0.9910560519330593,983
Is Parent,Prefer not to say,,,3
Is Parent,Yes,-0.0014456018060117542,0.9910560519330593,1646
Is Transgender,No,2.2300032058467995e-16,0.9857068333665282,4081
Political Affiliation,Conservative,-0.0053790723637469635,0.9927006928517181,296
Political Affiliation,Independent,0.010144245173993148,0.9927006928517181,309
Political Affiliation,Liberal,0.005447233111032294,0.9927006928517181,836
Political Affiliation,Prefer not to say,0.0,,3
Religion Important,1) No,-0.006472717149220592,0.984626073803274,399
Religion Important,2) Not very,0.0,0.984626073803274,18
Religion Important,3) Somewhat,0.0,0.984626073803274,203
Religion Important,4) Very,-0.005536368211874643,0.984626073803274,506
Seen Toxicity,False,0.0019001554672655127,0.950072992157744,274
Seen Toxicity,True,-0.0018266300687895796,0.950072992157744,2769
Sexual Orientation,Bisexual,0.027397260273972577,0.9537892196331903,45
Sexual Orientation,Heterosexual,0.0007653852115953297,0.9537892196331903,3181
Sexual Orientation,Homosexual,1.0,0.0,6
Technology Impact,2) Somewhat negative,0.0,0.8831107214268604,16
Technology Impact,3) Neutral,-0.1334488734835353,0.8831107214268604,27
Technology Impact,4) Somewhat positive,0.0035350067394015923,0.8831107214268604,1413
Technology Impact,5) Very positive,0.013558420842749183,0.8831107214268604,244
Toxicity Problem,1) Never,1.0,,3
Toxicity Problem,2) Rarely,0.0,0.9489787891749896,95
Toxicity Problem,3) Occasionally,-0.0048351198546904535,0.9489787891749896,547
Toxicity Problem,4) Frequently,0.017509645143511283,0.9489787891749896,332
Toxicity Problem,5) Very Frequently,-0.011857707509881433,0.9489787891749896,45
