SDB Feature,,apunim,pvalue,support
Age,1) Gen. X+,0.066036699263817,0.5817772258480919,271
Age,2) Millennial,-0.006760928601686964,0.7773857663147188,1886
Ethnicity,black,-0.04166666666666677,,4
Ethnicity,white,0.0004255194303050144,0.967028321778319,1896
Gender,man,0.09068736510905435,0.0003197297418910041,1439
Gender,woman,-0.24415461838774744,1.407069379125494e-13,877
