SDB Feature,,mean_apunim,std_apunim,n_runs
Age,1) Gen. Z,-0.026305205275141054,0.04737560300666248,10.0
Age,2) Millennial,-0.029216960613033815,0.02673690260846181,10.0
Age,3) Gen. X+,0.04089432482614062,0.02505229039446463,10.0
Education,College +,0.019786678166799472,0.026044625482570947,10.0
Education,High school -,0.021642855920051312,0.03080263942322138,10.0
Education,Other,-0.014383077806745337,0.03421820374208167,10.0
Gender,Man,-0.11312859900775016,0.057618419184019894,10.0
Gender,Woman,0.09960146356177411,0.0560875018208549,10.0
Race,African Am.,-0.0588148005726294,0.0341123275232315,10.0
Race,Asian,0.0786154519014998,0.05911078724661075,10.0
Race,Latino,-0.03984944562044214,0.0197012171855442,10.0
Race,Multiracial,-0.0003078872976034012,0.0167010151618466,10.0
Race,White,-0.012025722916868565,0.03469120155229966,10.0
