SDB Feature,,apunim,pvalue,support
Age,1) 18 - 24,0.007819287576020939,0.997535599364199,76
Age,2) 25 - 34,-0.0006351769294237284,0.997535599364199,2499
Age,3) 35 - 44,0.010162416284182957,0.997535599364199,766
Age,4) 45 - 54,0.0065486296386122935,0.997535599364199,119
Age,5) 55 - 64,0.0,0.997535599364199,21
Education,2) High School graduate,-0.040202825063382894,0.9810874636572703,68
Education,"3) College, no degree",0.00435736580240408,0.9810874636572703,444
Education,4) Associate degree,0.0,0.9810874636572703,65
Education,5) Bachelor's degree,-0.0012938946228144119,0.9810874636572703,2686
Education,6) Master's degree,-0.015621656323560638,0.9810874636572703,256
Ethnicity,Asian,0.0,,9
Ethnicity,Black,-0.039341262580055034,0.9753489774929915,121
Ethnicity,White,0.00023085312169161945,0.9753489774929915,7810
Gender,Female,0.0022271313286147372,0.8917449648169292,4146
Gender,Male,0.00225574140285498,0.8917449648169292,3592
Has Been Targeted,False,0.0003269389470125603,0.9698462085921453,7617
Has Been Targeted,True,-0.0040688242959335255,0.9698462085921453,1180
Is Parent,No,-0.0007253336645757817,0.9917927501062364,3263
Is Parent,Yes,-0.00013515277078163135,0.9917927501062364,4622
Is Transgender,No,4.443289950796166e-16,0.9918107524704599,12078
Political Affiliation,Conservative,-0.005938548928479436,0.9374266637363244,843
Political Affiliation,Independent,-0.01568015762252683,0.9374266637363244,886
Political Affiliation,Liberal,-0.0024618924009989266,0.9374266637363244,2413
Political Affiliation,Prefer not to say,0.0,,6
Religion Important,1) No,0.0033585222502099965,0.9078167406727887,1316
Religion Important,2) Not very,0.0,0.9078167406727887,93
Religion Important,3) Somewhat,0.0053297633180935155,0.9078167406727887,606
Religion Important,4) Very,-0.005615925936892389,0.9078167406727887,1622
Seen Toxicity,False,0.019447569627809736,0.9676715497071366,705
Seen Toxicity,True,-0.0006413448999776101,0.9676715497071366,8539
Sexual Orientation,Bisexual,-0.11276012260041961,0.9961577839703022,112
Sexual Orientation,Heterosexual,-0.00019370016614978124,0.9961577839703022,9685
Technology Impact,2) Somewhat negative,0.0104412260020209,0.9699193167312075,74
Technology Impact,3) Neutral,0.0,0.9699193167312075,110
Technology Impact,4) Somewhat positive,-0.0033380497453503045,0.9699193167312075,4006
Technology Impact,5) Very positive,-0.0032192079407126714,0.9699193167312075,907
Toxicity Problem,1) Never,-0.45652173913043487,0.9923638216016766,9
Toxicity Problem,2) Rarely,0.03434924498036418,0.9923638216016766,293
Toxicity Problem,3) Occasionally,-0.0014593348376335808,0.9923638216016766,1936
Toxicity Problem,4) Frequently,-0.0015505039137719385,0.9923638216016766,1165
Toxicity Problem,5) Very Frequently,-0.05511811023622057,0.9923638216016766,94
