SDB Feature,,apunim,pvalue,support
Age,1) 18 - 24,-0.04862579281183906,0.9984407057373376,79
Age,2) 25 - 34,-0.0005875474837260598,0.9984407057373376,2561
Age,3) 35 - 44,0.0035880493090340343,0.9984407057373376,790
Age,4) 45 - 54,0.042680383706381095,0.9984407057373376,111
Age,5) 55 - 64,0.0,0.9984407057373376,30
Education,2) High School graduate,-0.0168539325842698,0.9665875056078749,48
Education,"3) College, no degree",-0.0007879091755602983,0.9665875056078749,420
Education,4) Associate degree,0.0796221322537111,0.9665875056078749,65
Education,5) Bachelor's degree,-0.0016733111389293437,0.9665875056078749,2571
Education,6) Master's degree,0.016389277093126743,0.9665875056078749,247
Ethnicity,Asian,0.0,,3
Ethnicity,Black,-0.029649595687331463,0.9890116009728567,112
Ethnicity,Multiracial,0.07526881720430115,,3
Ethnicity,White,2.2317049527870767e-05,0.9890116009728567,7880
Gender,Female,0.0020990673807114316,0.9333958184117546,4274
Gender,Male,-0.002179198872558168,0.9333958184117546,3501
Has Been Targeted,False,-0.0008260558435997695,0.9605675280105963,7589
Has Been Targeted,True,-0.003510361227494273,0.9605675280105963,1207
Is Parent,No,-0.0007288538594417642,0.9963969794241586,3206
Is Parent,Prefer not to say,0.0,,3
Is Parent,Yes,-0.0002648798454888621,0.9963969794241586,4680
Is Transgender,No,0.0,0.992053203905696,11997
Political Affiliation,Conservative,-0.01967576555355395,0.8950932347746688,909
Political Affiliation,Independent,0.008073643703312507,0.8950932347746688,960
Political Affiliation,Liberal,0.002459631229757495,0.8950932347746688,2459
Political Affiliation,Other,0.0,,3
Political Affiliation,Prefer not to say,0.0,0.8950932347746688,9
Religion Important,1) No,0.00740656658815543,0.994274560599341,1226
Religion Important,2) Not very,0.0,0.994274560599341,63
Religion Important,3) Somewhat,-0.0015738243932755763,0.994274560599341,740
Religion Important,4) Very,-0.00013214112672264898,0.994274560599341,1530
Seen Toxicity,False,-0.004291845493562063,0.9578592779136599,738
Seen Toxicity,True,0.0011497447393280147,0.9578592779136599,8637
Sexual Orientation,Bisexual,-0.05116502522219528,0.9575213536351699,142
Sexual Orientation,Heterosexual,0.0004931235754028901,0.9575213536351699,9604
Sexual Orientation,Homosexual,0.0,,3
Sexual Orientation,Prefer not to say,0.3333333333333333,,3
Technology Impact,2) Somewhat negative,0.0,0.9973199889583475,54
Technology Impact,3) Neutral,0.0,0.9973199889583475,95
Technology Impact,4) Somewhat positive,0.00012620741319982397,0.9973199889583475,3890
Technology Impact,5) Very positive,-0.001674558725732883,0.9973199889583475,931
Toxicity Problem,1) Never,-0.07407407407407413,0.9571789965369787,15
Toxicity Problem,2) Rarely,-0.009805342220934325,0.9571789965369787,324
Toxicity Problem,3) Occasionally,0.0019104406007183254,0.9571789965369787,1752
Toxicity Problem,4) Frequently,0.0006463651109185396,0.9571789965369787,1239
Toxicity Problem,5) Very Frequently,0.07681263460157949,0.9571789965369787,93
