SDB Feature,,apunim,pvalue,support
Age,1) Gen. Z,-0.0948543087414753,0.564310048416724,90
Age,2) Millennial,0.011593543987270014,0.8062668454424499,94
Age,3) Gen. X+,0.1019878997407087,0.04935277971645224,62
Education,College +,-0.03188781875343062,0.47352536581635596,199
Education,High school -,0.04505341384115197,0.47352536581635596,193
Gender,Man,0.0,0.9323677978457616,36
Gender,Nonbinary,0.0,0.9323677978457616,18
Gender,Other,0.0,0.9323677978457616,33
Gender,Woman,2.562053133750362e-16,0.9323677978457616,34
Race,African Am.,-0.09502262443438922,0.9510840389944142,16
Race,Asian,0.10619469026548682,0.9510840389944142,15
Race,Latino,-0.059266227657572654,0.9510840389944142,18
Race,Other,-0.02912621359223291,0.9510840389944142,19
Race,White,-9.992007221626413e-17,0.9510840389944142,10
