k,n_ann,minority,delta,rep,simulation,method,stat,pvalue,detected
3,9,0.3333333333333333,0.0,4,bidirectional,GMM clustering (Checco/Mignemi),-0.11764705882352941,1.0,0
3,9,0.3333333333333333,0.0,5,unidirectional,apunim,0.09602961457501624,2.513100951113495e-05,1
3,9,0.3333333333333333,0.0,5,unidirectional,Krippendorff delta-alpha,-0.0011201499734974814,0.6019900497512438,0
3,9,0.3333333333333333,0.0,5,unidirectional,aposteriori unimodality (2024),0.0,1.0,0
3,9,0.3333333333333333,0.0,5,unidirectional,chi-squared (Akhtar et al. 2019),9.137810069335279,0.33080426651643274,0
3,9,0.3333333333333333,0.0,5,unidirectional,GMM clustering (Checco/Mignemi),0.15,0.263681592039801,0
3,9,0.3333333333333333,0.0,5,bidirectional,apunim,0.1462631820265933,5.108602537065348e-11,1
3,9,0.3333333333333333,0.0,5,bidirectional,Krippendorff delta-alpha,0.027694801219036336,0.06467661691542288,0
3,9,0.3333333333333333,0.0,5,bidirectional,aposteriori unimodality (2024),0.0,1.0,0
3,9,0.3333333333333333,0.0,5,bidirectional,chi-squared (Akhtar et al. 2019),11.383290050442685,0.18091264216600708,0
3,9,0.3333333333333333,0.0,5,bidirectional,GMM clustering (Checco/Mignemi),-0.05,1.0,0
3,9,0.3333333333333333,0.0,6,unidirectional,apunim,0.06097043429056424,0.0501056864060482,0
3,9,0.3333333333333333,0.0,6,unidirectional,Krippendorff delta-alpha,-0.012726846513789932,0.7014925373134329,0
3,9,0.3333333333333333,0.0,6,unidirectional,aposteriori unimodality (2024),0.0,1.0,0
3,9,0.3333333333333333,0.0,6,unidirectional,chi-squared (Akhtar et al. 2019),5.823974269634318,0.6669418410343955,0
3,9,0.3333333333333333,0.0,6,unidirectional,GMM clustering (Checco/Mignemi),-0.11764705882352941,1.0,0
3,9,0.3333333333333333,0.0,6,bidirectional,apunim,0.16906474820143874,2.102922853548406e-12,1
3,9,0.3333333333333333,0.0,6,bidirectional,Krippendorff delta-alpha,0.02741725467271694,0.10945273631840796,0
3,9,0.3333333333333333,0.0,6,bidirectional,aposteriori unimodality (2024),0.0,1.0,0
3,9,0.3333333333333333,0.0,6,bidirectional,chi-squared (Akhtar et al. 2019),7.909071339980249,0.44240242959962006,0
3,9,0.3333333333333333,0.0,6,bidirectional,GMM clustering (Checco/Mignemi),0.11764705882352941,0.39303482587064675,0
3,9,0.3333333333333333,0.0,7,unidirectional,apunim,-0.06850961538461545,0.0054910940796728,1
3,9,0.3333333333333333,0.0,7,unidirectional,Krippendorff delta-alpha,0.0004273757978101589,0.4626865671641791,0
3,9,0.3333333333333333,0.0,7,unidirectional,aposteriori unimodality (2024),0.0,1.0,0
3,9,0.3333333333333333,0.0,7,unidirectional,chi-squared (Akhtar et al. 2019),2.046387935926196,0.9795566371636176,0
3,9,0.3333333333333333,0.0,7,unidirectional,GMM clustering (Checco/Mignemi),0.0,1.0,0
3,9,0.3333333333333333,0.0,7,bidirectional,apunim,-0.08751257364563898,0.00011668442617182953,1
3,9,0.3333333333333333,0.0,7,bidirectional,Krippendorff delta-alpha,-0.007492721299305151,0.582089552238806,0
3,9,0.3333333333333333,0.0,7,bidirectional,aposteriori unimodality (2024),0.0,1.0,0
3,9,0.3333333333333333,0.0,7,bidirectional,chi-squared (Akhtar et al. 2019),3.44021270303554,0.9037798806749986,0
3,9,0.3333333333333333,0.0,7,bidirectional,GMM clustering (Checco/Mignemi),-0.11764705882352941,1.0,0
3,9,0.3333333333333333,0.0,8,unidirectional,apunim,0.04992657856093983,0.04317262148274793,1
3,9,0.3333333333333333,0.0,8,unidirectional,Krippendorff delta-alpha,-0.01746886072084593,0.8258706467661692,0
3,9,0.3333333333333333,0.0,8,unidirectional,aposteriori unimodality (2024),0.0,1.0,0
