sample_size,standard_deviation
3,0.3331398476059756
3,0.32475786552327357
3,0.3262939065716125
3,0.32539293942730707
3,0.32852392500476313
3,0.3250819674209563
3,0.336161135325896
3,0.32123534293162304
3,0.33101691147576684
3,0.32747486596439507
3,0.3337783608867581
3,0.3285477277379888
3,0.32668907958377014
3,0.31852552068913587
3,0.32580687911026507
3,0.3212652824655242
3,0.3197527248683139
3,0.3340592316029851
3,0.3243777723804181
3,0.3430320936737076
3,0.3224578520695324
3,0.3280802835372637
3,0.3366883248224661
3,0.3320126750409842
3,0.33342661547054236
3,0.3222172085439016
3,0.3302681852631241
3,0.33906110907821085
3,0.3208919277493722
3,0.34125025449758856
3,0.3380676546425154
3,0.3258227131089762
3,0.32645071002857085
3,0.3356764079123521
3,0.3216519082290744
3,0.3304202943736126
3,0.324885624294208
3,0.3274285777891329
3,0.3350468935882366
3,0.3395013261932372
3,0.3343016099930122
3,0.31866348156804575
3,0.335754390665174
3,0.31171522175761207
3,0.3201356801008238
3,0.33075850073376856
3,0.3317789074665507
3,0.3176642793687955
3,0.32676624649423575
3,0.32126611398698746
3,0.33268064211960213
3,0.3373045405617357
3,0.31803943377021393
3,0.3278040854087604
3,0.3214190297148615
3,0.33484687248640904
3,0.32247786885490903
3,0.3187130587580492
3,0.3230921313525482
3,0.31732630602976697
3,0.3318689850195588
3,0.3382102378052598
3,0.32598812943827943
3,0.336396039764274
3,0.3194217120902525
3,0.33652347881468786
3,0.3256681147668112
3,0.3333438207563076
3,0.3284786171248817
3,0.3400546462503152
3,0.34468852969666686
3,0.33246682340554445
3,0.32139516032561233
3,0.3088025761209875
3,0.3190682226683424
3,0.342406516942894
3,0.3365937909705187
3,0.33070589509984444
3,0.3277134219519596
3,0.32752747073360866
3,0.33038025901000384
3,0.3229143961450799
3,0.31720063495860673
3,0.3386482004346324
3,0.3340842802164331
3,0.3286918826344134
3,0.3331916208374661
3,0.3329473215955962
3,0.32825525208809087
3,0.3202523486329873
3,0.3108325143572571
3,0.3443362656684815
3,0.33587117581327613
3,0.3322637483070723
3,0.3259958798191793
3,0.32730087717443335
3,0.32831879626410637
3,0.3218713405173608
3,0.3374030211107794
3,0.3167885804563442
3,0.3370476446812463
3,0.33383934190194475
3,0.337777609378192
3,0.33197326838932417
3,0.31416892973393973
3,0.34115222181176863
3,0.32708277143393205
3,0.3301611856417417
3,0.32878651508340323
3,0.3280849550136491
3,0.3231943199743461
3,0.31559462641412367
3,0.33401902950530593
3,0.324413948897329
3,0.3339713277144808
3,0.3406972384127999
3,0.3254004140928442
3,0.33774018412862306
3,0.33338969799360535
3,0.3280361736707934
3,0.32726292780878846
3,0.3226850563634448
3,0.32135507892268206
3,0.3202301786487284
3,0.3268815713776944
3,0.3191736684097736
3,0.32511749806573204
3,0.31291174188475396
3,0.33575574088538446
3,0.33189577533955666
3,0.3200367292466266
3,0.3146982416770831
3,0.31626638734323803
3,0.32524416576586596
3,0.3227997320812078
3,0.33507866912529805
3,0.33140339981089584
3,0.34069263235337904
3,0.3263323185169684
3,0.3277481713932174
3,0.32487492060190165
3,0.3280541257384091
3,0.3207278698304055
3,0.3368596068301264
3,0.3287465872065638
3,0.34066785235021374
3,0.32661742843967245
3,0.3217890354616471
3,0.3310142760968955
3,0.31387296527540115
3,0.33223026065925537
3,0.31607016892497103
3,0.3403267630106066
3,0.32023711755998036
3,0.3270938669367085
3,0.32531277372932127
3,0.34008595054449386
3,0.3258783189078444
3,0.34203596696768246
3,0.3314648137210973
3,0.32909202371851093
3,0.3327967720990667
3,0.31122707382507053
3,0.32046564986389875
3,0.33625167247159454
3,0.3347740294554274
3,0.3318484857024966
3,0.32658381145491633
3,0.34248116439691617
3,0.3280878378619699
3,0.33538723840296625
3,0.32627033420170587
3,0.32465300355369975
3,0.31840356283716637
3,0.3180260608911763
3,0.3429558529181174
3,0.32771244636020164
3,0.32658234755732785
3,0.32642531593699353
3,0.3368477112260335
3,0.33037321784151713
3,0.3234565414865273
3,0.3214217309653523
3,0.3203461066741596
3,0.3366187529134457
3,0.3332606345806456
3,0.3264490793792119
3,0.3277752424225822
3,0.3240820085461673
3,0.32662615783292615
3,0.32098391994751657
3,0.328419842940331
3,0.3397199875601765
3,0.32935970625958877
3,0.3261600130049374
3,0.33258035182366164
3,0.32883675715007865
3,0.3316825021341916
3,0.3176717293494617
3,0.32127872359258997
3,0.3389291435681674
3,0.32551009935572217
3,0.32154636900228156
3,0.33608467196229397
3,0.3289123167357466
3,0.3400315737701284
3,0.34122745591810866
3,0.3319847575865104
3,0.3298584662224777
3,0.3368970134810329
3,0.32460128638384644
3,0.3246024909471709
3,0.3355112365560288
3,0.3303218722288461
3,0.3357177480910025
3,0.32767611022001214
3,0.33706528063234015
3,0.31023776761574645
3,0.322316175618726
3,0.3271142121567517
3,0.3298455109224781
3,0.3257051993584929
3,0.3277864047547432
3,0.3104743915213849
3,0.33663084732333004
3,0.32656244028952836
3,0.3098472355480416
3,0.32850142936758
3,0.3270668856361083
3,0.3226509734941181
3,0.3260509099196393
3,0.32850514710716383
3,0.3315882639561595
3,0.3243729877931578
3,0.32799133045645973
3,0.335169329919143
3,0.3241966784609193
3,0.32187590460019777
3,0.3359262177636304
3,0.31835638721538706
3,0.3297924088664361
3,0.33426360659282517
3,0.3252108602509039
3,0.33657466689048976
3,0.322890097594814
3,0.3071213426248662
3,0.3300134671420809
3,0.3202130407002876
3,0.32931717369563934
3,0.3258071117199647
3,0.30264720927003874
3,0.31932411741586036
