Dataset,Model,PC Dimension,F,p_raw,n_prompts_compared,n_total_obs,cohens_d_stereotype_vs_default,cohens_d_persona_vs_default,cohens_d_single_vs_default,cohens_d_direct_vs_default,p_corrected,reject_null
Kumar et al. 2021,llama70b,Has Been Targeted: True,8.8435805231336,4.1196527404311277e-07,5,4882,0.029713523952407502,-0.0174914082543927,0.15824282695766936,-0.10159721297064381,0.00010175542268864886,True
Kumar et al. 2021,llama70b,Is Parent: No,7.833871800189613,2.742852208798479e-06,5,4507,0.03196886354256471,-0.02278131826757884,0.15895646935361796,-0.0888218223550566,0.0005869703726828746,True
Kumar et al. 2021,llama70b,Is Parent: Prefer not to say,8.823224693191836,4.2972933526525535e-07,5,4562,0.03413865070048606,-0.01993275172209128,0.16882916511634594,-0.09494504875665571,0.00010571341647525281,True
Kumar et al. 2021,llama70b,Is Parent: Yes,8.766742806709061,4.783185419873026e-07,5,4483,0.045784731495682095,-0.018038528001306713,0.17079812820574666,-0.09687657762558845,0.00011575308716092724,True
Kumar et al. 2021,llama70b,Is Transgender: No,8.759868333542293,4.842723357528668e-07,5,4523,0.034676830585461796,-0.02593887348991008,0.15903422024784575,-0.11050318395630833,0.00011622536058068804,True
Kumar et al. 2021,llama70b,Is Transgender: Prefer not to say,7.593753024012372,4.294526141939975e-06,5,4467,0.011613297707615702,-0.03029730185652152,0.1308122678051618,-0.12991301995893992,0.0008932614375235148,True
Kumar et al. 2021,llama70b,Is Transgender: Yes,7.963618459280085,2.152374433964007e-06,5,4514,0.01532741256140293,-0.04041105530734522,0.15328155802019214,-0.09357153681987145,0.00046921762660415356,True
Kumar et al. 2021,llama70b,Political Affiliation: Conservative,3.2223881765627547,0.01192346802155947,5,3785,0.05961113880287548,-0.003195061500416457,0.11891587138738614,-0.05073454565414697,0.5355966011091612,False
Kumar et al. 2021,llama70b,Political Affiliation: Independent,7.35728554733324,6.72483904320417e-06,5,3743,0.019404877539558673,-0.04523599701434994,0.1541810183565269,-0.11084900183368303,0.00133824296959763,True
Kumar et al. 2021,llama70b,Political Affiliation: Liberal,7.612965628468248,4.188162105868705e-06,5,3609,0.06682790432351611,-0.05244113937388346,0.16115222545755975,-0.10140439351446126,0.0008753258801265593,True
Kumar et al. 2021,llama70b,Political Affiliation: Other,10.04485802979166,4.3953469261907574e-08,5,3602,0.0010516441574997832,-0.05929254330867987,0.160303887955746,-0.16121926074605325,1.1691622823667415e-05,True
Kumar et al. 2021,llama70b,Political Affiliation: Prefer not to say,7.459461932672014,5.571289610478849e-06,5,3620,0.02461590406990364,0.026604627349176298,0.18246627400705323,-0.09491556766133008,0.0011476856597586428,True
Kumar et al. 2021,llama70b,Religion Important: 1) No,5.659535760362135,0.00015410134886459752,5,3564,0.0287421258437712,-0.014414805278872391,0.14459446114582142,-0.0985357892306866,0.023269303678554225,True
Kumar et al. 2021,llama70b,Religion Important: 2) Not very,5.153605690984557,0.0003865536800423424,5,3707,0.018784910129157336,-0.007693496728327224,0.1559017551029559,-0.0663154847083615,0.05295785416580091,False
Kumar et al. 2021,llama70b,Religion Important: 3) Somewhat,6.029607876319472,7.81898561207519e-05,5,3681,-0.005507489814223938,-0.047636535105584285,0.13469058926995434,-0.10820520099788103,0.012510376979320302,True
Kumar et al. 2021,llama70b,Religion Important: 4) Very,7.425616641758348,5.9187091942364805e-06,5,3794,0.07001962186724327,-0.020072280286545847,0.17793171345437903,-0.07808820463302453,0.0012014979664300056,True
Kumar et al. 2021,llama70b,Religion Important: Prefer not to say,9.174954409543835,2.2510707572591273e-07,5,3729,0.05483240414613832,0.0015346415082230858,0.18373926164533985,-0.12440773537844335,5.762741138583366e-05,True
Kumar et al. 2021,llama70b,Seen Toxicity: False,8.521489439523004,7.540261501067606e-07,5,4912,0.034314793516394125,-0.019752867419683687,0.15711849457530253,-0.09531055543152389,0.0001756880929748752,True
Kumar et al. 2021,llama70b,Seen Toxicity: True,10.377706483913343,2.2809011845959256e-08,5,4901,0.021617216141267173,-0.03501486394323475,0.16015621159501994,-0.11947955194649722,6.181242210254958e-06,True
Kumar et al. 2021,llama70b,Sexual Orientation: Bisexual,7.069108069894962,1.1486054747229458e-05,5,3707,-0.014637149261481937,-0.049261035456498216,0.1366257219821065,-0.12603291156344057,0.002182350401973597,True
Kumar et al. 2021,llama70b,Sexual Orientation: Heterosexual,8.134891237375667,1.5806233352426997e-06,5,3690,0.009704248870290253,-0.02997837653717158,0.158654336850024,-0.13454273671943792,0.00035564025042960745,True
Kumar et al. 2021,llama70b,Sexual Orientation: Homosexual,7.3690043039742195,6.5881295389119655e-06,5,3653,0.016505341756188834,-0.041063078085510955,0.1641273346949163,-0.10331930809645334,0.001317625907782393,True
Kumar et al. 2021,llama70b,Sexual Orientation: Other,5.096382078601766,0.0004289743423251456,5,3640,0.02361927724308983,-0.018964409260925897,0.12223981321949885,-0.11399509218522784,0.05791153621389466,False
Kumar et al. 2021,llama70b,Sexual Orientation: Prefer not to say,6.652580173755849,2.4837306884545468e-05,5,3667,0.04043336130102894,-0.00047804744352716855,0.15790410964954055,-0.10927888259893803,0.004421040625449094,True
Kumar et al. 2021,llama70b,Technology Impact: 1) Very negative,5.105200675362789,0.00042222007520074,5,3624,0.05627161442278979,-0.016172388703391827,0.1558845105523068,-0.062365416827840345,0.05742193022730064,False
Kumar et al. 2021,llama70b,Technology Impact: 2) Somewhat negative,5.196706808263758,0.00035732781347738696,5,3777,0.04221915272972129,0.014107973071038962,0.14861093032039946,-0.07916286014823726,0.04966856607335679,True
Kumar et al. 2021,llama70b,Technology Impact: 3) Neutral,7.435091999619131,5.819190479172313e-06,5,3745,0.026392415349884193,-0.0239366580116286,0.18335888232982556,-0.06695621664806398,0.0011929340482303241,True
Kumar et al. 2021,llama70b,Technology Impact: 4) Somewhat positive,5.3845592979823005,0.00025393174535904146,5,3811,0.01959452497967194,-0.044415339450273365,0.12025870328585184,-0.10921198937219259,0.03682010307706101,True
Kumar et al. 2021,llama70b,Technology Impact: 5) Very positive,8.124780477563087,1.611360818512635e-06,5,3668,0.05772823756610441,-0.033327859585138335,0.15405196526621226,-0.13638764392370667,0.00036094482334683025,True
Kumar et al. 2021,llama70b,Toxicity Problem: 1) Never,5.31495747408663,0.000288435772654334,5,3689,0.02328752556391005,-0.0200674893792286,0.13319784053914,-0.10226457981863281,0.04153475126222409,True
Kumar et al. 2021,llama70b,Toxicity Problem: 2) Rarely,10.114024429065495,3.850659437760798e-08,5,3673,0.0374216740296814,0.002502651575035271,0.21868916062767071,-0.08920242357702403,1.0319767293198939e-05,True
Kumar et al. 2021,llama70b,Toxicity Problem: 3) Occasionally,4.796422109738232,0.0007376042718284941,5,3622,0.025327044320556918,-0.06314151617168869,0.09314792637663316,-0.12234342891578365,0.09146292970673327,False
Kumar et al. 2021,llama70b,Toxicity Problem: 4) Frequently,6.616624548976014,2.655242902281984e-05,5,3633,0.03122052004889175,-0.03810608066506662,0.14487745110161765,-0.11150847312993638,0.004673227508016292,True
Kumar et al. 2021,llama70b,Toxicity Problem: 5) Very Frequently,5.940012934133544,9.212744928590763e-05,5,3713,0.05579964712840445,-0.013646009688940799,0.16520431389807136,-0.07101231133903166,0.014556136987173405,True
Kumar et al. 2021,olmo32b,Age: 1) 18 - 24,8.264425770841848,1.268376818378587e-06,5,2757,-0.0071237268385346076,0.1574507444504467,0.2786276282090153,0.19839328211555166,0.00028792153777193924,True
Kumar et al. 2021,olmo32b,Age: 2) 25 - 34,5.477046443675379,0.00021688911753904328,5,2698,0.008239393516400323,0.18632432825859932,0.22525442348582608,0.1290406479188037,0.031665811160700316,True
