Dataset,Model,PC Dimension,F,p_raw,n_prompts_compared,n_total_obs,cohens_d_stereotype_vs_default,cohens_d_persona_vs_default,cohens_d_single_vs_default,cohens_d_direct_vs_default,p_corrected,reject_null
Kumar et al. 2021,olmo32b,Is Parent: Prefer not to say,13.05406500833007,1.4259685146708925e-10,5,4568,0.016534204463387894,0.1665113356273656,0.3008750354045586,0.14158968127451324,4.192347433132424e-08,True
Kumar et al. 2021,olmo32b,Is Parent: Yes,13.362673178271532,7.941338239991845e-11,5,4488,0.02191981905471338,0.1619991397878823,0.3068199353426397,0.18287895984328323,2.358577457277578e-08,True
Kumar et al. 2021,olmo32b,Is Transgender: No,12.459172306328645,4.428407421378235e-10,5,4534,0.024403027633644762,0.1720246415291109,0.2964645022957899,0.16193199663937297,1.2709529299355534e-07,True
Kumar et al. 2021,olmo32b,Is Transgender: Prefer not to say,10.603203598824594,1.5002518142273154e-08,5,4474,0.017579472070109473,0.1710084622910186,0.26647595028961235,0.15286063539246864,4.116527279628921e-06,True
Kumar et al. 2021,olmo32b,Is Transgender: Yes,11.739835772118797,1.738074660961987e-09,5,4520,0.028064478128695163,0.17330642377335267,0.2869750907522776,0.1649456065513548,4.866609050693563e-07,True
Kumar et al. 2021,olmo32b,Political Affiliation: Conservative,10.613049349044474,1.496919010774153e-08,5,3788,-0.00365227164285543,0.1715588393669524,0.2795866446481214,0.13332976381724107,4.116527279628921e-06,True
Kumar et al. 2021,olmo32b,Political Affiliation: Independent,8.857179267183557,4.085417060888745e-07,5,3748,0.02033259991244034,0.16130618428389443,0.2725519337427816,0.14467322111670253,0.00010133896044820645,True
Kumar et al. 2021,olmo32b,Political Affiliation: Liberal,8.689434266929155,5.610061995629397e-07,5,3612,0.037250570361171166,0.16145355226354183,0.28576577317842167,0.16753332372457982,0.00013351947549597966,True
Kumar et al. 2021,olmo32b,Political Affiliation: Other,6.283930293311196,4.903484298010984e-05,5,3610,0.029917540203700015,0.1851573444071227,0.21736332762503954,0.132703529890103,0.008384958149598783,True
Kumar et al. 2021,olmo32b,Political Affiliation: Prefer not to say,9.444590792247702,1.3595644729172528e-07,5,3623,0.011346708823361182,0.17246486058221275,0.27820198143697605,0.14811266243159163,3.5348676295848575e-05,True
Kumar et al. 2021,olmo32b,Religion Important: 1) No,10.186418652933565,3.369409034033776e-08,5,3568,0.04890120763805111,0.16386131207460547,0.31225742099342807,0.20360150098624083,9.131098482231533e-06,True
Kumar et al. 2021,olmo32b,Religion Important: 2) Not very,9.907348409572174,5.678215645054025e-08,5,3714,-0.003498129135840763,0.17646201979243872,0.26695382858635286,0.1491454060966278,1.5104053615843707e-05,True
Kumar et al. 2021,olmo32b,Religion Important: 3) Somewhat,9.669054931523778,8.900799055432514e-08,5,3681,0.027241861833767006,0.18182046331812543,0.2832120585864021,0.1633176969403024,2.340910151578751e-05,True
Kumar et al. 2021,olmo32b,Religion Important: 4) Very,10.919137049819717,8.390608324087451e-09,5,3803,0.032556744981401875,0.16834441943448716,0.30966430627367686,0.1632762748826072,2.3325891140963115e-06,True
Kumar et al. 2021,olmo32b,Religion Important: Prefer not to say,9.124474223073042,2.4747050889014827e-07,5,3733,0.011951816312249553,0.17687408919683614,0.2663341938329347,0.13187909269774323,6.310497976698781e-05,True
Kumar et al. 2021,olmo32b,Seen Toxicity: False,12.362590277662212,5.270352531473859e-10,5,4919,0.01957660933164219,0.1741609741023905,0.2759346699413385,0.1571290261903195,1.50205047147005e-07,True
Kumar et al. 2021,olmo32b,Seen Toxicity: True,12.61045849112278,3.288570263650697e-10,5,4910,0.028326199012417085,0.17610923261030342,0.2848194873352291,0.15911159326095078,9.471082359314008e-08,True
Kumar et al. 2021,olmo32b,Sexual Orientation: Bisexual,8.744817674895703,5.04678094326588e-07,5,3714,0.026955524642637622,0.15935782469923143,0.27747389248645343,0.14063632710001442,0.00012061806454405454,True
Kumar et al. 2021,olmo32b,Sexual Orientation: Heterosexual,8.951189761681498,3.4288343698450066e-07,5,3692,-0.015478768317857943,0.1488625745335425,0.2548271041380195,0.12990456551388632,8.572085924612516e-05,True
Kumar et al. 2021,olmo32b,Sexual Orientation: Homosexual,10.137584507593994,3.6848930603944377e-08,5,3658,0.04147989922757156,0.173816141995622,0.30763912518715864,0.17179154571830305,9.949211263064982e-06,True
Kumar et al. 2021,olmo32b,Sexual Orientation: Other,8.420378830166399,9.277114305938659e-07,5,3646,0.009918188033614715,0.16142862143911751,0.25901465785339756,0.1574300081855538,0.0002152290518977769,True
Kumar et al. 2021,olmo32b,Sexual Orientation: Prefer not to say,9.673219419427612,8.833057165515704e-08,5,3673,0.03325393495036136,0.17342455696574594,0.29303178252622963,0.17416374700872794,2.331927091696146e-05,True
Kumar et al. 2021,olmo32b,Technology Impact: 1) Very negative,9.388285944468102,1.5111608883023998e-07,5,3628,0.025935165662934394,0.17392021037929223,0.28432424895477026,0.17240930750332056,3.898795091820191e-05,True
Kumar et al. 2021,olmo32b,Technology Impact: 2) Somewhat negative,8.82936077665726,4.301856390241954e-07,5,3776,0.03710961107908194,0.1840089995426017,0.27090267586409456,0.1649454488240958,0.00010571341647560025,True
Kumar et al. 2021,olmo32b,Technology Impact: 3) Neutral,8.769197050142921,4.817695067711498e-07,5,3753,0.03694780757435964,0.17347291979932583,0.277228420746337,0.16497420997914675,0.0001161064511318471,True
Kumar et al. 2021,olmo32b,Technology Impact: 4) Somewhat positive,9.73105295722884,7.894619355525835e-08,5,3817,0.013040695080631343,0.1570247286929541,0.27906157544186916,0.1493958266114168,2.0920741292143463e-05,True
Kumar et al. 2021,olmo32b,Technology Impact: 5) Very positive,11.432913665165104,3.1885356039026262e-09,5,3668,-0.001717848034306152,0.1816960499379205,0.2947985340160334,0.16537100618087228,8.896014334888327e-07,True
Kumar et al. 2021,olmo32b,Toxicity Problem: 1) Never,8.957720548819072,3.3873627408499527e-07,5,3688,0.07184299918298065,0.18529578430868637,0.3023090833199412,0.1599976022874716,8.502280479533381e-05,True
Kumar et al. 2021,olmo32b,Toxicity Problem: 2) Rarely,9.418044477893874,1.4272694736454456e-07,5,3678,0.062182662037430975,0.18174849477111787,0.2968868337948537,0.18909819638089473,3.696627936741704e-05,True
Kumar et al. 2021,olmo32b,Toxicity Problem: 3) Occasionally,9.567325509335546,1.0792391623227636e-07,5,3628,0.03437048320339523,0.18130314817932341,0.2759496184143964,0.20075265021413963,2.8276066052856407e-05,True
Kumar et al. 2021,olmo32b,Toxicity Problem: 4) Frequently,9.451815559372768,1.3407389815724202e-07,5,3638,0.06830788434933088,0.20094969852712877,0.2996749220945853,0.1848495647675851,3.499328741904017e-05,True
Kumar et al. 2021,olmo32b,Toxicity Problem: 5) Very Frequently,8.585901493894204,6.796285853521587e-07,5,3719,-0.0084237952155062,0.16013863156909908,0.2468892530520816,0.1344548454932044,0.00015971271755775728,True
Kumar et al. 2021,qwen32b,Age: 1) 18 - 24,3.048204111738868,0.01612860053911457,5,2760,-0.002161696443962305,0.10743199284890001,0.16718442188564933,0.11767018401890174,0.9193302307295305,False
Kumar et al. 2021,qwen32b,Age: 2) 25 - 34,1.8305936888494818,0.1201417490405324,5,2700,0.004543083335639405,0.12223519644363245,0.10017491761558288,0.09707086659006167,1.0,False
Kumar et al. 2021,qwen32b,Age: 3) 35 - 44,2.964374457082991,0.01861132329779063,5,2749,0.016927802798735958,0.14518334195461796,0.16504862646883267,0.1196672412531847,1.0,False
Kumar et al. 2021,qwen32b,Age: 4) 45 - 54,4.315558018419534,0.0017560983071204029,5,2744,0.034875379588834236,0.12319910524084773,0.18067600195483827,0.20426810577177965,0.17560983071204028,False
Kumar et al. 2021,qwen32b,Age: 5) 55 - 64,3.3930028480269625,0.008904407534923144,5,2740,0.11068831159627741,0.18701471736096162,0.18541635055793415,0.1903369200526192,0.5965953048398506,False
